 #! Swift/XRT lightcurve of trigger: 31978, name: NGC 5408 X-1
 #! T0 for this burst is Swift MET=229462503.0 s, = 2008 Apr 09 at 19:35:00.294 UT
 #! Data covers 0.3-10 keV
 #! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source count-rate, source error
 #! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 #! For a detailed description of the file, see
 #! http://www.swift.ac.uk/xrt_curves/docs.php
 #! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00031978
#! PC data
#!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
33966209.952	18000.000	-18000.000	8.709116e-02	1.012767e-02	-1.012767e-02
34002209.952	18000.000	-18000.000	2.781847e-02	6.531302e-03	-6.531302e-03
34326209.952	18000.000	-18000.000	9.281999e-02	6.954910e-03	-6.954910e-03
34650209.952	18000.000	-18000.000	7.700509e-02	8.438038e-03	-8.438038e-03
35010209.952	18000.000	-18000.000	1.551609e-02	3.382570e-03	-3.382570e-03
35226209.952	18000.000	-18000.000	7.911629e-02	8.295757e-03	-8.295757e-03
35262209.952	18000.000	-18000.000	7.362923e-02	1.894177e-02	-1.894177e-02
35550209.952	18000.000	-18000.000	6.951173e-02	6.799993e-03	-6.799993e-03
35838209.952	18000.000	-18000.000	6.705377e-02	1.147040e-02	-1.147040e-02
35874209.952	18000.000	-18000.000	8.532179e-02	8.965101e-03	-8.965101e-03
36162209.952	18000.000	-18000.000	1.022459e-01	8.157397e-03	-8.157397e-03
36450209.952	18000.000	-18000.000	8.899237e-02	7.005731e-03	-7.005731e-03
36774209.952	18000.000	-18000.000	1.039245e-01	1.567347e-02	-1.567347e-02
36810209.952	18000.000	-18000.000	8.450766e-02	1.076842e-02	-1.076842e-02
36990209.952	18000.000	-18000.000	8.506439e-02	7.515593e-03	-7.515593e-03
37386209.952	18000.000	-18000.000	6.599715e-02	8.776843e-03	-8.776843e-03
37638209.952	18000.000	-18000.000	7.436282e-02	7.548977e-03	-7.548977e-03
37674209.952	18000.000	-18000.000	5.657695e-02	1.137814e-02	-1.137814e-02
37998209.952	18000.000	-18000.000	7.089587e-02	1.553831e-02	-1.553831e-02
38034209.952	18000.000	-18000.000	8.351639e-02	7.276308e-03	-7.276308e-03
38214209.952	18000.000	-18000.000	7.573371e-02	7.135319e-03	-7.135319e-03
38610209.952	18000.000	-18000.000	9.188876e-02	7.529571e-03	-7.529571e-03
38862209.952	18000.000	-18000.000	7.847814e-02	1.194761e-02	-1.194761e-02
38898209.952	18000.000	-18000.000	7.567674e-02	7.490640e-03	-7.490640e-03
39222209.952	18000.000	-18000.000	8.531604e-02	6.368182e-03	-6.368182e-03
39474209.952	18000.000	-18000.000	7.662549e-02	7.181252e-03	-7.181252e-03
40050209.952	18000.000	-18000.000	8.674545e-02	7.814981e-03	-7.814981e-03
40410209.952	18000.000	-18000.000	6.506940e-02	6.819468e-03	-6.819468e-03
40626209.952	18000.000	-18000.000	7.306938e-02	6.777269e-03	-6.777269e-03
41022209.952	18000.000	-18000.000	7.540280e-02	6.893621e-03	-6.893621e-03
41310209.952	18000.000	-18000.000	6.798325e-02	6.242078e-03	-6.242078e-03
41634209.952	18000.000	-18000.000	5.570011e-02	6.107331e-03	-6.107331e-03
41886209.952	18000.000	-18000.000	5.845254e-02	6.413591e-03	-6.413591e-03
42210209.952	18000.000	-18000.000	7.063636e-02	7.070121e-03	-7.070121e-03
42246209.952	18000.000	-18000.000	6.124946e-02	1.342400e-02	-1.342400e-02
42462209.952	18000.000	-18000.000	7.289543e-02	6.189458e-03	-6.189458e-03
42858209.952	18000.000	-18000.000	8.833266e-02	8.908143e-03	-8.908143e-03
43074209.952	18000.000	-18000.000	1.003778e-01	1.420832e-02	-1.420832e-02
43110209.952	18000.000	-18000.000	5.837567e-02	7.579074e-03	-7.579074e-03
43398209.952	18000.000	-18000.000	8.107433e-02	8.194793e-03	-8.194793e-03
43722209.952	18000.000	-18000.000	7.290821e-02	6.150107e-03	-6.150107e-03
43758209.952	18000.000	-18000.000	5.651544e-02	1.794650e-02	-1.489600e-02
44046209.952	18000.000	-18000.000	6.762941e-02	3.201125e-02	-2.427896e-02
44082209.952	18000.000	-18000.000	8.386509e-02	7.897442e-03	-7.897442e-03
44658209.952	18000.000	-18000.000	6.967281e-02	1.072437e-02	-1.072437e-02
44694209.952	18000.000	-18000.000	8.844320e-02	2.063840e-02	-2.063840e-02
44874209.952	18000.000	-18000.000	9.169823e-02	7.698913e-03	-7.698913e-03
45234209.952	18000.000	-18000.000	9.773897e-02	6.909360e-03	-6.909360e-03
45450209.952	18000.000	-18000.000	6.237730e-02	1.304810e-02	-1.304810e-02
45486209.952	18000.000	-18000.000	1.173975e-01	9.721154e-03	-9.721154e-03
45882209.952	18000.000	-18000.000	1.034266e-01	1.036120e-02	-1.036120e-02
46098209.952	18000.000	-18000.000	8.441989e-02	6.501013e-03	-6.501013e-03
53154209.952	18000.000	-18000.000	2.274094e-02	4.611374e-03	-4.611374e-03
53370209.952	18000.000	-18000.000	3.586914e-02	1.829204e-02	-1.387361e-02
53406209.952	18000.000	-18000.000	1.476507e-02	3.682801e-03	-3.682801e-03
